,Unnamed: 0,Volume,Last,Chg,% Chg
60,Nvni Group Ltd. (NVNI),674.1K,3.69,0.61,19.81
61,Foremost Clean Energy Ltd. (FMST),1.0M,3.76,0.62,19.75
62,Aureus Greenway Holdings Inc. (AGH),152.4K,4.2,0.69,19.66
63,BTQ Technologies Corp. (BTQ),8.9M,12.08,1.96,19.37
64,Skyline Builders Group Holding Ltd. Cl A (SKBL),900.8K,3.69,0.59,19.18
65,Nano Nuclear Energy Inc. (NNE),7.1M,54.41,8.58,18.72
66,Tango Therapeutics Inc. (TNGX),3.0M,8.48,1.33,18.7
67,USA Rare Earth Inc. (USAR),46.7M,38.69,6.08,18.64
68,Pixelworks Inc. (PXLW),349.6K,15.22,2.38,18.57
69,WhiteFiber Inc. (WYFI),1.4M,39.14,6.11,18.5
70,Fossil Group Inc. (FOSL),772.8K,2.7,0.42,18.42
71,Greenwave Technology Solutions Inc. (GWAV),500.0K,8.51,1.32,18.36
72,Ramaco Resources Inc. Cl B (METCB),207.5K,21.68,3.35,18.31
73,EUDA Health Holdings Ltd. (EUDA),158.7K,3.38,0.52,18.18
74,Quhuo Ltd. ADR (QH),1.2M,7.7,1.16,17.74
75,Click Holdings Ltd. (CLIK),304.3K,8.88,1.32,17.46
76,Red Cat Holdings Inc. (RCAT),15.0M,15.38,2.26,17.23
77,Ondas Holdings Inc. (ONDS),49.7M,10.8,1.58,17.1
78,Energy Fuels Inc. (UUUU),40.5M,23.78,3.44,16.89
79,Clean Energy Technologies Inc. (CETY),340.8K,2.78,0.4,16.81
80,Terra Innovatum Global N.V. (NKLR),4.0M,18.2,2.59,16.59
81,Monopar Therapeutics Inc. (MNPR),79.0K,102.2,14.38,16.37
82,IonQ Inc. (IONQ),37.0M,82.13,11.48,16.25
83,Oklo Inc. (OKLO),24.6M,171.0,23.84,16.2
84,Palladyne AI Corp. (PDYN),2.0M,9.62,1.33,16.04
85,Churchill Capital Corp. X Cl A (CCCX),7.5M,25.95,3.54,15.8
86,Standard Lithium Ltd. (SLI),7.8M,5.21,0.7,15.52
87,QuantumScape Corp. Cl A (QS),60.9M,16.98,2.27,15.48
88,Bio Green Med Solution Inc. (BGMS),468.9K,5.92,0.79,15.4
89,SuperX AI Technology Ltd. (SUPX),362.7K,67.08,8.92,15.34
90,Solaris Energy Infrastructure Inc. (SEI),4.3M,51.86,6.88,15.31
91,Argan Inc. (AGX),375.0K,294.96,38.81,15.15
92,Sandisk Corp. (SNDK),7.8M,134.52,17.61,15.06
93,Bitdeer Technologies Group (BTDR),8.9M,20.44,2.66,14.96
94,Alpha & Omega Semiconductor Inc. (AOSL),325.0K,29.45,3.79,14.77
95,BioHarvest Sciences Inc. (BHST),159.9K,12.67,1.63,14.76
96,Draganfly Inc. (DPRO),5.1M,13.77,1.76,14.65
97,NuScale Power Corp. (SMR),27.2M,44.97,5.73,14.6
98,Mangoceuticals Inc. (MGRX),316.8K,2.52,0.32,14.55
99,Atomera Inc. (ATOM),289.2K,4.84,0.61,14.54
