,Unnamed: 0,Volume,Last,Chg,% Chg
0,Solidion Technology Inc. (STI),99.1M,21.56,16.07,292.71
1,ESS Tech Inc. (GWH),159.9M,9.06,4.9,117.73
2,Aqua Metals Inc. (AQMS),18.0M,9.99,4.33,76.5
3,Graphjet Technology (GTI),1.9M,6.1,2.23,57.62
4,Critical Metals Corp. (CRML),60.8M,23.29,8.31,55.47
5,Nouveau Monde Graphite Inc. (NMG),6.5M,5.06,1.72,51.5
6,Blackboxstocks Inc. (BLBX),5.0M,12.18,4.03,49.45
7,Powell Max Ltd. (PMAX),25.4M,3.76,1.17,45.16
8,China Natural Resources Inc. (CHNR),16.5M,7.08,2.1,42.25
9,Earlyworks Co. Ltd. ADR (ELWS),314.0K,3.78,1.08,40.0
10,Volato Group Inc. (SOAR),4.2M,3.46,0.97,39.16
11,Tao Synergies Inc. (TAOX),672.5K,9.54,2.65,38.46
12,United States Antimony Corp. (UAMY),40.3M,16.71,4.5,36.85
13,American Battery Technology Co. (ABAT),43.4M,9.22,2.46,36.52
14,Hang Feng Technology Innovation Co. Ltd. (FOFO),340.4K,15.92,4.22,36.07
15,Stardust Power Inc. (SDST),1.2M,5.16,1.31,34.03
16,Professional Diversity Network Inc. (IPDN),1.4M,3.96,1.0,33.79
17,Snow Lake Resources Ltd. (LITM),19.7M,5.94,1.46,32.59
18,Namib Minerals (NAMM),23.0M,4.17,1.01,31.96
19,Advent Technologies Holdings Inc. (ADN),489.0K,3.78,0.92,31.88
20,Nukkleus Inc. (NUKK),2.7M,10.49,2.53,31.78
21,ASP Isotopes Inc. (ASPI),23.9M,13.32,3.19,31.49
22,Northern Dynasty Minerals Ltd. (NAK),51.0M,2.64,0.61,29.99
23,PS International Group Ltd. (PSIG),280.1K,4.75,1.09,29.64
24,Bitfarms Ltd. (BITF),142.6M,5.4,1.2,28.45
25,CVD Equipment Corp. (CVV),157.6K,4.06,0.9,28.32
26,Nanobiotix S.A. ADR (NBTX),168.6K,30.18,6.58,27.88
27,New Horizon Aircraft Ltd. (HOVR),2.8M,3.66,0.8,27.7
28,Bloom Energy Corp. (BE),26.2M,109.94,23.07,26.56
29,Nova Minerals Ltd. ADR (NVA),520.8K,34.04,7.13,26.5
30,ENDRA Life Sciences Inc. (NDRA),13.8M,8.18,1.7,26.23
31,Lottery.com Inc. (SEGG),263.3K,4.68,0.95,25.64
32,Rigetti Computing Inc. (RGTI),150.0M,54.94,11.02,25.09
33,Power Integrations Inc. (POWI),6.4M,43.17,8.53,24.62
34,Brilliant Earth Group Inc. Cl A (BRLT),378.6K,2.63,0.51,24.06
35,Odyssey Marine Exploration Inc. (OMEX),5.6M,3.49,0.67,23.76
36,Universal Safety Products Inc. (UUU),300.9K,5.42,1.04,23.74
37,Eos Energy Enterprises Inc. (EOSE),40.0M,17.04,3.21,23.26
38,D-Wave Quantum Inc. (QBTS),82.3M,40.62,7.6,23.02
39,5E Advanced Materials Inc. (FEAM),606.4K,6.92,1.26,22.26
40,BigBear.ai Holdings Inc. (BBAI),201.2M,8.81,1.59,22.0
41,American Resources Corp. (AREC),24.1M,4.97,0.89,21.81
42,Velo3D Inc. (VELO),1.7M,5.42,0.97,21.8
43,Lightbridge Corp. (LTBR),3.8M,26.87,4.79,21.69
44,W&T Offshore Inc. (WTI),10.4M,2.52,0.45,21.5
45,I-Mab ADR (IMAB),4.5M,5.8,1.02,21.49
46,Fluence Energy Inc. (FLNC),9.6M,15.88,2.79,21.31
47,Empresa Distribuidora y Comercializadora Norte S.A. Cl B ADR (EDN),700.1K,20.16,3.54,21.3
48,MP Materials Corp. (MP),47.3M,95.02,16.68,21.29
49,Lithium Argentina AG (LAR),7.0M,5.42,0.95,21.23
50,Ioneer Ltd. ADR (IONR),889.9K,7.48,1.3,21.15
51,Mega Fortune Co. Ltd. (MGRT),137.8K,5.3,0.93,21.12
52,Tron Inc. (TRON),4.2M,4.13,0.72,21.11
53,Navitas Semiconductor Corp. (NVTS),119.4M,9.96,1.73,21.02
54,Microvast Holdings Inc. (MVST),16.2M,5.23,0.9,20.85
55,17 Education & Technology Group Inc. ADR (YQ),57.9K,4.87,0.84,20.84
56,Forward Industries Inc. (FORD),488.3K,24.57,4.18,20.5
57,Arqit Quantum Inc. (ARQQ),1.2M,58.38,9.87,20.33
58,TMC the metals company Inc. (TMC),26.8M,10.69,1.8,20.32
59,Cipher Mining Inc. (CIFR),55.2M,20.34,3.37,19.83
