,Unnamed: 0,Volume,Last,Chg,% Chg
87,T. Rowe Price Group Inc. (TROW),53.7K,103.03,-0.12,-0.12
88,Viatris Inc. (VTRS),231.9K,10.09,-0.01,-0.15
89,Host Hotels & Resorts Inc. (HST),129.1K,16.16,-0.03,-0.19
90,QuantumScape Corp. Cl A (QS),128.5K,15.43,-0.03,-0.19
91,Adobe Inc. (ADBE),122.8K,328.5,-0.73,-0.22
92,DexCom Inc. (DXCM),82.4K,66.18,-0.15,-0.23
93,Texas Instruments Inc. (TXN),207.0K,175.08,-0.41,-0.23
94,eBay Inc. (EBAY),99.3K,90.96,-0.23,-0.25
95,AGNC Investment Corp. (AGNC),118.8K,9.9,-0.03,-0.25
96,Caesars Entertainment Inc. (CZR),66.8K,21.68,-0.06,-0.25
97,Paychex Inc. (PAYX),63.4K,126.12,-0.37,-0.29
98,Lam Research Corp. (LRCX),311.5K,141.94,-0.42,-0.3
99,Autodesk Inc. (ADSK),51.2K,298.91,-0.91,-0.3
