,Unnamed: 0,Volume,Last,Chg,% Chg
65,Churchill Capital Corp. X Cl A (CCCX),8.0M,21.59,2.3,11.92
66,Richardson Electronics Ltd. (RELL),851.6K,11.86,1.25,11.78
67,Canadian Solar Inc. (CSIQ),3.7M,15.97,1.68,11.76
68,Ramaco Resources Inc. Cl A (METC),3.6M,46.33,4.84,11.67
69,WAVE Life Sciences Ltd. (WVE),4.0M,8.19,0.84,11.43
70,Bright Minds Biosciences Inc. (DRUG),151.6K,61.41,6.21,11.25
71,Tectonic Therapeutic Inc. (TECX),1.3M,17.08,1.72,11.2
72,Relay Therapeutics Inc. (RLAY),2.3M,6.78,0.67,10.97
73,Anixa Biosciences Inc. (ANIX),739.0K,4.92,0.48,10.81
74,Protara Therapeutics Inc. (TARA),1.1M,5.61,0.54,10.65
75,TeraWulf Inc. (WULF),44.5M,13.59,1.29,10.49
76,Lightpath Technologies Inc. Cl A (LPTH),3.1M,9.6,0.91,10.47
77,Entrada Therapeutics Inc. (TRDA),340.5K,6.79,0.63,10.23
78,GSR III Acquisition Corp. Rt (GSRTR),147.8K,15.4,1.4,10.0
79,Yuanbao Inc. ADR (YB),56.4K,22.07,2.0,9.97
80,Transportadora de Gas del Sur S.A. ADR (TGS),743.0K,23.14,2.09,9.93
81,Empresa Distribuidora y Comercializadora Norte S.A. Cl B ADR (EDN),398.4K,18.02,1.6,9.74
82,Monte Rosa Therapeutics Inc. (GLUE),884.0K,8.46,0.75,9.73
83,YD Bio Ltd. (YDES),110.9K,18.71,1.65,9.67
84,Nanobiotix S.A. ADR (NBTX),233.1K,29.91,2.61,9.56
85,Spruce Biosciences Inc. (SPRB),347.9K,175.31,15.23,9.52
86,Energy Fuels Inc. (UUUU),36.7M,19.7,1.7,9.44
87,Hydrofarm Holdings Group Inc. (HYFM),83.0K,3.38,0.29,9.39
88,Brookdale Senior Living Inc. (BKD),8.2M,8.88,0.76,9.36
89,Cullinan Therapeutics Inc. (CGEM),3.5M,7.05,0.6,9.3
90,CG Oncology Inc. (CGON),1.8M,44.46,3.75,9.21
91,Creative Realities Inc. (CREX),76.0K,2.75,0.23,9.13
92,Adverum Biotechnologies Inc. (ADVM),390.4K,5.32,0.44,9.02
93,Tron Inc. (TRON),6.0M,3.99,0.33,9.02
94,YPF S.A. ADR (YPF),3.8M,26.59,2.19,8.98
95,Rigetti Computing Inc. (RGTI),155.5M,47.11,3.88,8.98
96,NETGEAR Inc. (NTGR),1.9M,36.01,2.95,8.92
97,Nurix Therapeutics Inc. (NRIX),1.1M,10.86,0.88,8.82
98,Versus Systems Inc. (VS),132.3K,2.35,0.19,8.8
99,Immunovant Inc. (IMVT),2.4M,17.48,1.41,8.74
