,Unnamed: 0,Volume,Last,Chg,% Chg
0,Ambow Education Holding Ltd. ADR (AMBO),3.8M,5.75,2.18,61.06
1,SU Group Holdings Ltd. (SUGP),2.5M,10.49,3.69,54.28
2,9F Inc. ADR (JFU),1.9M,4.2,1.44,52.17
3,Baosheng Media Group Holdings Ltd. (BAOS),26.7M,4.86,1.55,46.83
4,Biodexa Pharmaceuticals PLC ADR (BDRX),6.2M,10.9,3.19,41.37
5,SEALSQ Corp. (LAES),120.3M,6.09,1.73,39.68
6,Galecto Inc. (GLTO),12.8M,14.75,4.1,38.5
7,Pyxis Oncology Inc. (PYXS),3.1M,3.83,0.92,31.62
8,Turn Therapeutics Inc. (TTRX),19.1M,9.2,2.2,31.43
9,T1 Energy Inc. (TE),18.5M,3.83,0.9,30.72
10,Serve Robotics Inc. (SERV),72.4M,17.68,3.94,28.63
11,Grupo Supervielle S.A. ADR (SUPV),8.0M,6.34,1.36,27.31
12,Traws Pharma Inc. (TRAW),1.2M,3.13,0.64,25.7
13,Arrive AI Inc. (ARAI),1.3M,5.48,1.12,25.69
14,Critical Metals Corp. (CRML),44.0M,14.71,2.92,24.77
15,Kodiak AI Inc. (KDK),2.1M,9.77,1.83,23.05
16,Neurogene Inc. (NGNE),505.4K,31.56,5.73,22.18
17,Mega Fortune Co. Ltd. (MGRT),186.8K,5.86,1.06,22.08
18,Grupo Financiero Galicia S.A. ADR (GGAL),9.0M,34.5,6.14,21.65
19,Byrna Technologies Inc. (BYRN),2.6M,27.63,4.83,21.18
20,enGene Holdings Inc. (ENGN),2.0M,8.89,1.48,19.97
21,Spyre Therapeutics Inc. (SYRE),2.8M,21.17,3.49,19.74
22,Genelux Corp. (GNLX),369.0K,5.67,0.92,19.37
23,Phoenix Education Partners Inc. (PXED),3.6M,38.15,6.15,19.22
24,UiPath Inc. (PATH),99.9M,18.51,2.93,18.81
25,PomDoctor Ltd. ADR (POM),1.6M,4.77,0.74,18.36
26,Cabaletta Bio Inc. (CABA),33.1M,2.85,0.44,18.26
27,Draganfly Inc. (DPRO),11.0M,13.22,2.03,18.14
28,Sagimet Biosciences Inc. (SGMT),1.5M,8.62,1.31,17.92
29,Creative Media & Community Trust Corp. (CMCT),89.8K,7.31,1.11,17.9
30,Banco Macro S.A. ADR (BMA),1.8M,51.54,7.66,17.46
31,Corbus Pharmaceuticals Holdings Inc. (CRBP),286.8K,15.7,2.28,16.99
32,Banco BBVA Argentina S.A. ADR (BBAR),3.2M,9.73,1.41,16.95
33,Wolfspeed Inc. (WOLF),9.5M,35.42,5.06,16.67
34,Entero Therapeutics Inc. (ENTO),210.8K,4.66,0.66,16.5
35,Neogen Corp. (NEOG),12.5M,6.78,0.96,16.49
36,Akero Therapeutics Inc. (AKRO),37.4M,54.08,7.59,16.33
37,OneMedNet Corp. (ONMD),3.8M,2.67,0.37,16.09
38,SOBR Safe Inc. (SOBR),143.3K,3.81,0.52,15.81
39,Entera Bio Ltd. (ENTX),625.4K,2.51,0.34,15.67
40,Lightwave Logic Inc. (LWLG),4.5M,5.95,0.8,15.53
41,Actuate Therapeutics Inc. (ACTU),169.9K,8.09,1.08,15.41
42,USA Rare Earth Inc. (USAR),26.7M,31.07,4.05,14.99
43,Aqua Metals Inc. (AQMS),332.6K,6.13,0.78,14.47
44,United States Antimony Corp. (UAMY),19.4M,10.88,1.36,14.29
45,Spruce Power Holding Corp. (SPRU),119.5K,3.26,0.4,13.99
46,WISeKey International Holding Ltd. ADR (WKEY),550.3K,7.44,0.9,13.76
47,VisionWave Holdings Inc. (VWAV),347.7K,9.99,1.2,13.65
48,Epsium Enterprise Ltd. Cl A (EPSM),560.8K,37.63,4.44,13.38
49,FG Nexus Inc. (FGNX),613.8K,6.23,0.73,13.27
50,Huize Holding Ltd. ADR (HUIZ),56.3K,4.1,0.48,13.26
51,Oruka Therapeutics Inc. (ORKA),1.1M,25.55,2.94,12.98
52,Nkarta Inc. (NKTX),3.3M,2.36,0.27,12.92
53,Alliance Laundry Holdings Inc. (ALH),14.7M,24.82,2.82,12.82
54,Lantronix Inc. (LTRX),1.0M,5.64,0.64,12.8
55,T Stamp Inc. (IDAI),644.8K,3.74,0.42,12.65
56,Apogee Therapeutics Inc. (APGE),4.1M,53.21,5.97,12.64
57,Cidara Therapeutics Inc. (CDTX),1.6M,110.76,12.25,12.44
58,CPS Technologies Corp. (CPSH),489.1K,3.98,0.44,12.43
59,Compass Diversified Holdings (CODI),4.6M,7.35,0.81,12.39
60,Central Puerto S.A. ADR (CEPU),618.1K,8.91,0.98,12.36
61,Perma-Pipe International Holdings Inc. (PPIH),256.4K,26.92,2.96,12.35
62,Biohaven Ltd. (BHVN),3.2M,17.23,1.89,12.32
63,NioCorp Developments Ltd. (NB),11.4M,9.84,1.07,12.2
64,Nukkleus Inc. (NUKK),1.3M,8.96,0.96,12.0
