,Unnamed: 0,Volume,Last,Chg,% Chg
83,PowerBank Corp. (SUUN),729.5K,2.25,0.17,8.22
84,Aspen Aerogels Inc. (ASPN),1.3M,8.76,0.67,8.22
85,Corcept Therapeutics Inc. (CORT),487.4K,78.04,5.92,8.21
86,Hut 8 Corp. (HUT),8.5M,54.04,4.09,8.2
87,Advanced Micro Devices Inc. (AMD),63.9M,235.94,17.85,8.18
88,Senti Biosciences Inc. (SNTI),636.5K,2.25,0.17,8.17
89,Hecla Mining Co. (HL),11.3M,14.38,1.08,8.16
90,Austin Gold Corp. (AUST),324.8K,2.8,0.21,8.11
91,Digital Turbine Inc. (APPS),2.3M,7.08,0.53,8.0
92,REGENXBIO Inc. (RGNX),176.3K,12.15,0.9,8.0
93,EUDA Health Holdings Ltd. (EUDA),63.7K,3.52,0.26,7.98
94,AirSculpt Technologies Inc. (AIRS),677.2K,10.61,0.78,7.93
95,HCM II Acquisition Corp. Cl A (HOND),8.0M,26.96,1.98,7.93
96,GSI Technology Inc. (GSIT),234.6K,5.01,0.36,7.85
97,Korro Bio Inc. (KRRO),131.9K,49.37,3.59,7.84
98,Arrive AI Inc. (ARAI),513.6K,6.75,0.49,7.8
99,Centrus Energy Corp. (LEU),1.3M,426.8,30.64,7.73
