,Unnamed: 0,Volume,Last,Chg,% Chg
0,Omeros Corp. (OMER),83.8M,10.17,6.07,148.05
1,Sadot Group Inc. (SDOT),17.1M,9.8,4.61,88.73
2,Sound Group Inc. ADR (SOGP),2.1M,20.94,7.76,58.9
3,Veritone Inc. (VERI),34.4M,8.41,2.96,54.12
4,iRobot Corp. (IRBT),17.8M,5.71,1.78,45.29
5,Fossil Group Inc. (FOSL),6.2M,3.75,1.1,41.46
6,Arcadia Biosciences Inc. (RKDA),19.6M,4.99,1.3,35.23
7,Apollomics Inc. (APLM),425.3K,24.9,6.47,35.08
8,Innovation Beverage Group Ltd. (IBG),22.0M,4.29,1.07,33.23
9,SciSparc Ltd. (SPRC),2.0M,4.59,1.14,33.04
10,Evaxion A/S ADR (EVAX),1.9M,10.38,2.54,32.4
11,Rain Enhancement Technologies Holdco Inc. Cl A (RAIN),75.9K,6.04,1.29,27.26
12,Blaize Holdings Inc. (BZAI),9.7M,6.32,1.31,26.15
13,Bitdeer Technologies Group (BTDR),22.0M,25.36,5.25,26.07
14,Sana Biotechnology Inc. (SANA),25.1M,5.51,1.06,23.82
15,Soluna Holdings Inc. (SLNH),26.7M,3.44,0.65,23.3
16,Zenta Group Co. Ltd. (ZGM),1.1M,3.62,0.62,20.67
17,Local Bounti Corp. (LOCL),92.2K,3.72,0.62,20.0
18,Nukkleus Inc. (NUKK),2.4M,13.54,2.15,18.88
19,T1 Energy Inc. (TE),20.3M,4.74,0.73,18.17
20,Hillenbrand Inc. (HI),20.7M,31.24,4.75,17.91
21,Avino Silver & Gold Mines Ltd. (ASM),7.7M,6.51,0.97,17.51
22,Tecogen Inc. (TGEN),1.5M,11.2,1.67,17.47
23,Absci Corp. (ABSI),8.7M,4.58,0.68,17.41
24,SCHMID Group N.V. (SHMD),268.5K,3.64,0.51,16.29
25,Navitas Semiconductor Corp. (NVTS),86.9M,14.51,1.94,15.4
26,FutureFuel Corp. (FF),527.4K,4.42,0.57,14.97
27,Quantum-Si Inc. (QSI),38.3M,2.46,0.32,14.65
28,New Era Energy & Digital Inc. (NUAI),26.9M,3.52,0.45,14.62
29,Microvast Holdings Inc. (MVST),10.4M,5.99,0.74,14.1
30,Above Food Ingredients Inc. (ABVE),3.8M,4.92,0.6,13.89
31,AirJoule Technologies Corp. (AIRJ),528.6K,6.24,0.76,13.87
32,Applied Optoelectronics Inc. (AAOI),3.8M,32.42,3.94,13.83
33,AgriFORCE Growing Systems Ltd. (AGRI),606.4K,3.95,0.48,13.82
34,Kodiak Sciences Inc. (KOD),420.0K,14.18,1.7,13.64
35,Sandisk Corp. (SNDK),5.4M,144.29,17.0,13.36
36,Better Home & Finance Holding Co. (BETR),415.6K,56.5,6.58,13.18
37,Amprius Technologies Inc. (AMPX),12.4M,14.91,1.66,12.53
38,Xencor Inc. (XNCR),458.5K,13.94,1.51,12.15
39,Bunge Global S.A. (BG),2.6M,92.04,9.63,11.69
40,NuScale Power Corp. (SMR),39.9M,51.11,5.32,11.61
41,Qualigen Therapeutics Inc. (QLGN),98.8K,4.25,0.44,11.55
42,Gyre Therapeutics Inc. (GYRE),117.9K,8.93,0.92,11.49
43,Ventyx Biosciences Inc. (VTYX),1.7M,4.05,0.4,10.96
44,Central Puerto S.A. ADR (CEPU),490.0K,9.8,0.95,10.73
45,Everspin Technologies Inc. (MRAM),588.8K,12.06,1.15,10.49
46,Uranium Royalty Corp. (UROY),6.2M,4.72,0.45,10.42
47,Hang Feng Technology Innovation Co. Ltd. (FOFO),195.9K,17.79,1.66,10.29
48,Yatsen Holding Ltd. ADR (YSG),311.7K,8.36,0.78,10.29
49,Celcuity Inc. (CELC),405.5K,50.88,4.68,10.14
50,17 Education & Technology Group Inc. ADR (YQ),56.5K,5.59,0.51,10.04
51,Aeva Technologies Inc. (AEVA),2.5M,19.87,1.8,9.96
52,Compass Therapeutics Inc. (CMPX),802.4K,4.77,0.43,9.91
53,Stem Inc. (STEM),642.1K,30.23,2.71,9.86
54,New Oriental Education & Technology Group Inc. ADR (EDU),1.4M,58.06,5.18,9.81
55,Zevra Therapeutics Inc. (ZVRA),2.5M,11.52,1.02,9.77
56,MEDIROM Healthcare Technologies Inc. ADR (MRM),445.3K,2.36,0.21,9.77
57,NovaGold Resources Inc. (NG),4.7M,10.84,0.95,9.67
58,Pyxis Oncology Inc. (PYXS),356.5K,3.54,0.31,9.6
59,Quoin Pharmaceuticals Ltd. ADR (QNRX),467.3K,15.39,1.34,9.54
60,Foremost Clean Energy Ltd. (FMST),1.4M,4.25,0.37,9.54
61,Ichor Holdings Ltd. (ICHR),661.3K,22.36,1.94,9.5
62,SSR Mining Inc. (SSRM),2.3M,25.84,2.23,9.47
63,Jaguar Health Inc. (JAGX),151.6K,2.33,0.2,9.39
64,NewAmsterdam Pharma Co. N.V. (NAMS),733.4K,41.34,3.48,9.2
65,RAPT Therapeutics Inc. (RAPT),74.6K,27.3,2.3,9.2
66,Apellis Pharmaceuticals Inc. (APLS),960.5K,25.21,2.06,8.9
67,Optical Cable Corp. (OCC),65.2K,9.37,0.78,9.08
68,Telix Pharmaceuticals Ltd. ADR (TLX),281.9K,10.95,0.91,9.06
69,Editas Medicine Inc. (EDIT),2.0M,3.92,0.33,9.05
70,Safe Pro Group Inc. (SPAI),334.3K,7.56,0.63,9.02
71,ProQR Therapeutics N.V. (PRQR),335.4K,2.68,0.22,9.0
72,C4 Therapeutics Inc. (CCCC),742.4K,2.2,0.18,8.92
73,Neuraxis Inc. (NRXS),72.6K,3.3,0.27,8.91
74,Array Technologies Inc. (ARRY),5.3M,9.88,0.81,8.88
75,Ambow Education Holding Ltd. ADR (AMBO),57.3K,5.04,0.41,8.86
76,IZEA Worldwide Inc. (IZEA),321.7K,5.55,0.45,8.82
77,Helios Technologies Inc. (HLIO),653.2K,54.02,4.35,8.76
78,CDT Equity Inc. (CDT),188.3K,4.12,0.33,8.71
79,Xeris Biopharma Holdings Inc. (XERS),2.1M,8.8,0.68,8.37
80,Ascent Solar Technologies Inc. (ASTI),254.8K,2.46,0.19,8.37
81,ENDRA Life Sciences Inc. (NDRA),118.1K,7.58,0.58,8.37
82,Energous Corp. (WATT),59.3K,8.13,0.62,8.26
