,Unnamed: 0,Volume,Last,Chg,% Chg
0,Praxis Precision Medicines Inc. (PRAX),13.4M,162.71,105.36,183.71
1,rYojbaba Co. Ltd. (RYOJ),27.6M,4.76,2.59,119.35
2,Apollomics Inc. (APLM),260.8K,31.98,12.48,64.0
3,Earlyworks Co. Ltd. ADR (ELWS),31.1M,5.1,1.42,38.59
4,Sensei Biotherapeutics Inc. (SNSE),120.6K,17.58,3.9,28.52
5,bioAffinity Technologies Inc. (BIAF),20.1M,3.41,0.7,25.83
6,NextCure Inc. (NXTC),341.4K,8.48,1.67,24.52
7,Whitehawk Therapeutics Inc. (WHWK),93.7M,2.61,0.51,24.29
8,J.B. Hunt Transport Services Inc. (JBHT),6.3M,169.57,30.74,22.14
9,Mingteng International Corp. Inc. (MTEN),557.8K,4.55,0.8,21.33
10,Real Messenger Corp. (RMSG),628.2K,3.2,0.56,21.21
11,Personalis Inc. (PSNL),3.1M,10.28,1.75,20.52
12,Q/C Technologies Inc. (QCLS),3.5M,5.5,0.76,16.03
13,Nova Minerals Ltd. ADR (NVA),2.6M,62.98,8.4,15.4
14,Energous Corp. (WATT),2.5M,10.2,1.3,14.61
15,GRAIL Inc. (GRAL),2.0M,86.41,10.89,14.42
16,Planet Green Holdings Corp. (PLAG),953.4K,2.37,0.28,13.4
17,Aqua Metals Inc. (AQMS),8.9M,15.7,1.76,12.63
18,C4 Therapeutics Inc. (CCCC),10.5M,2.48,0.26,11.71
19,17 Education & Technology Group Inc. ADR (YQ),86.0K,6.09,0.63,11.54
20,TScan Therapeutics Inc. (TCRX),1.0M,2.48,0.25,11.21
21,VisionWave Holdings Inc. (VWAV),332.1K,11.91,1.17,10.89
22,GitLab Inc. Cl A (GTLB),14.0M,48.27,4.63,10.6
23,Turn Therapeutics Inc. (TTRX),425.7K,5.64,0.54,10.59
24,Agroz Inc. (AGRZ),334.3K,4.92,0.45,10.07
25,Cellectis S.A. ADR (CLLS),1.3M,4.52,0.41,9.98
26,Belite Bio Inc. ADR (BLTE),133.1K,89.07,7.81,9.61
27,Professional Diversity Network Inc. (IPDN),157.5K,4.22,0.37,9.61
28,Crescent Biopharma Inc. (CBIO),594.0K,12.35,1.06,9.39
29,Kyivstar Group Ltd. (KYIV),1.8M,13.93,1.19,9.34
30,Delcath Systems Inc. (DCTH),999.3K,12.36,1.04,9.19
31,Corbus Pharmaceuticals Holdings Inc. (CRBP),521.3K,19.05,1.55,8.86
32,Creative Medical Technology Holdings Inc. (CELZ),177.8K,4.02,0.31,8.36
33,Synergy CHC Corp. (SNYR),164.1K,2.37,0.18,8.22
34,Aureus Greenway Holdings Inc. (AGH),151.5K,5.01,0.37,7.97
35,Hecla Mining Co. (HL),23.5M,15.24,1.07,7.59
36,Triumph Financial Inc. (TFIN),709.6K,51.51,3.62,7.56
37,AXT Inc. (AXTI),1.9M,4.93,0.34,7.41
38,RxSight Inc. (RXST),914.7K,8.48,0.58,7.34
39,Kandal M Venture Ltd. Cl A (FMFC),329.5K,9.97,0.67,7.2
40,TFI International Inc. (TFII),332.2K,95.35,6.35,7.13
41,RAPT Therapeutics Inc. (RAPT),154.0K,28.93,1.9,7.03
42,I-Mab ADR (IMAB),2.5M,6.56,0.43,7.01
43,Cryoport Inc. (CYRX),2.9M,10.71,0.7,6.99
44,Endeavour Silver Corp. (EXK),18.6M,10.14,0.66,6.9
45,Prenetics Global Ltd. (PRE),176.6K,15.86,1.02,6.87
46,FTC Solar Inc. (FTCI),114.1K,9.42,0.6,6.8
47,DBV Technologies S.A. ADR (DBVT),271.3K,17.0,1.08,6.78
48,Sera Prognostics Inc. (SERA),92.0K,3.34,0.21,6.71
49,Banco Bilbao Vizcaya Argentaria S.A. ADR (BBVA),5.4M,19.47,1.21,6.63
50,Gold Fields Ltd. ADR (GFI),4.4M,46.62,2.83,6.46
51,Knight-Swift Transportation Holdings Inc. Cl A (KNX),4.7M,47.05,2.85,6.45
52,VEON Ltd. ADR (VEON),185.8K,54.95,3.32,6.43
53,Metagenomi Inc. (MGX),5.8M,3.33,0.2,6.39
54,A-Mark Precious Metals Inc. (AMRK),791.0K,29.7,1.75,6.26
55,Linkhome Holdings Inc. (LHAI),868.3K,10.07,0.58,6.11
56,Xencor Inc. (XNCR),3.3M,14.95,0.85,6.03
57,Sibanye-Stillwater Ltd. ADR (SBSW),13.9M,12.82,0.72,6.0
58,Yatsen Holding Ltd. ADR (YSG),307.6K,8.8,0.49,5.9
59,Sionna Therapeutics Inc. (SION),510.0K,32.72,1.81,5.86
60,Skillsoft Corp. (SKIL),84.8K,14.71,0.81,5.83
61,Werner Enterprises Inc. (WERN),1.8M,27.81,1.53,5.82
62,Hub Group Inc. Cl A (HUBG),1.2M,36.66,2.01,5.8
63,Certara Inc. (CERT),2.1M,12.66,0.69,5.76
64,DEFSEC Technologies Inc. (DFSC),65.1K,4.42,0.24,5.74
65,Eldorado Gold Corp. (EGO),3.7M,30.86,1.68,5.74
66,McEwen Inc. (MUX),3.8M,22.72,1.21,5.63
67,Universal Display Corp. (OLED),697.9K,150.15,7.93,5.58
68,Bruker Corp. (BRKR),4.7M,38.2,2.0,5.52
69,Micron Technology Inc. (MU),43.3M,202.53,10.59,5.52
70,Vicor Corp. (VICR),597.6K,60.47,3.16,5.51
71,MEDIROM Healthcare Technologies Inc. ADR (MRM),727.5K,2.5,0.13,5.49
72,Imunon Inc. (IMNN),94.4K,5.06,0.26,5.42
73,ASE Technology Holding Co. Ltd. ADR (ASX),14.3M,12.58,0.65,5.41
74,Standard Lithium Ltd. (SLI),14.6M,5.4,0.28,5.37
75,Vera Bradley Inc. (VRA),154.5K,2.17,0.11,5.34
76,United Homes Group Inc. (UHG),106.3K,4.4,0.22,5.26
77,Biomerica Inc. (BMRA),4.1M,3.01,0.15,5.24
78,Medicus Pharma Ltd. (MDCX),173.5K,2.41,0.12,5.24
79,Coca-Cola Femsa S.A.B. de C.V. ADR (KOF),174.4K,85.56,4.23,5.2
80,ON Semiconductor Corp. (ON),11.5M,52.97,2.61,5.18
81,Esperion Therapeutics Inc. (ESPR),5.0M,2.65,0.13,5.16
82,DRDGOLD Ltd. ADR (DRD),639.2K,31.69,1.55,5.14
83,Sarepta Therapeutics Inc. (SRPT),6.0M,23.34,1.14,5.14
84,BriaCell Therapeutics Corp. (BCTX),53.5K,12.32,0.6,5.12
85,ECARX Holdings Inc. (ECX),3.8M,2.26,0.11,5.12
86,Guardant Health Inc. (GH),3.0M,67.47,3.28,5.11
87,SANUWAVE Health Inc. (SNWV),342.9K,35.0,1.7,5.11
88,Celcuity Inc. (CELC),1.6M,52.53,2.5,5.0
89,Coherent Corp. (COHR),2.9M,115.92,5.51,4.99
90,Newmont Corp. (NEM),10.6M,98.25,4.67,4.99
91,Brown-Forman Corp. Cl A (BF.A),346.7K,28.38,1.34,4.98
92,Avantor Inc. (AVTR),15.5M,14.56,0.69,4.97
93,Progyny Inc. (PGNY),7.0M,21.33,1.01,4.97
94,Acacia Research Corp. - Acacia Technologies (ACTG),381.3K,3.62,0.17,4.93
95,Fomento Economico Mexicano S.A.B. de C.V. ADR (FMX),424.5K,95.4,4.39,4.82
96,Mesa Laboratories Inc. (MLAB),89.5K,74.15,3.41,4.82
97,Enerpac Tool Group Corp. Cl A (EPAC),572.7K,42.25,1.94,4.81
98,Compania de Minas Buenaventura S.A. ADR (BVN),1.9M,26.76,1.22,4.76
99,Heartland Express Inc. (HTLD),1.1M,8.44,0.38,4.71
