,Unnamed: 0,Volume,Last,Chg,% Chg
0,Aqua Metals Inc. (AQMS),34.6M,29.62,19.71,198.89
1,Nova Minerals Ltd. ADR (NVA),9.6M,71.84,37.68,110.3
2,Greenwave Technology Solutions Inc. (GWAV),26.0M,17.55,9.04,106.23
3,Avalon Holdings Corp. (AWX),13.9M,5.05,2.3,83.64
4,PMGC Holdings Inc. (ELAB),20.4M,9.03,3.82,73.32
5,Trilogy Metals Inc. (TMQ),151.2M,10.6,4.04,61.59
6,a.k.a. Brands Holding Corp. (AKA),335.2K,14.46,4.03,38.61
7,Stardust Power Inc. (SDST),3.8M,7.09,1.95,37.94
8,Astria Therapeutics Inc. (ATXS),34.7M,11.61,3.14,37.07
9,American Resources Corp. (AREC),48.1M,6.81,1.83,36.75
10,Westwater Resources Inc. (WWR),45.5M,3.48,0.92,35.94
11,International Tower Hill Mines Ltd. (THM),6.0M,2.76,0.71,34.63
12,SS Innovations International Inc. (SSII),613.4K,9.09,2.33,34.47
13,New Era Energy & Digital Inc. (NUAI),54.6M,3.07,0.72,30.64
14,SmartKem Inc. (SMTK),499.3K,2.83,0.65,29.82
15,Solidion Technology Inc. (STI),9.7M,28.0,6.38,29.48
16,Critical Metals Corp. (CRML),84.9M,29.97,6.69,28.74
17,Arrive AI Inc. (ARAI),1.2M,6.26,1.35,27.49
18,Velo3D Inc. (VELO),2.0M,6.85,1.44,26.62
19,Navitas Semiconductor Corp. (NVTS),157.9M,12.57,2.6,26.08
20,Evaxion A/S ADR (EVAX),697.2K,7.84,1.58,25.24
21,Royalty Management Holding Corp. (RMCO),842.2K,3.9,0.78,25.0
22,SEALSQ Corp. (LAES),119.0M,7.65,1.52,24.8
23,Republic Power Group Ltd. (RPGL),5.0M,4.98,0.98,24.5
24,Soluna Holdings Inc. (SLNH),21.8M,2.79,0.53,23.45
25,Nvni Group Ltd. (NVNI),1.3M,4.51,0.85,23.22
26,Rocket Pharmaceuticals Inc. (RCKT),9.7M,4.27,0.8,23.05
27,American Battery Technology Co. (ABAT),44.1M,11.33,2.11,22.89
28,Bluejay Diagnostics Inc. (BJDX),1.9M,3.5,0.65,22.81
29,SCHMID Group N.V. (SHMD),173.7K,3.13,0.58,22.75
30,NET Power Inc. (NPWR),4.2M,4.82,0.89,22.65
31,WISeKey International Holding Ltd. ADR (WKEY),2.5M,9.48,1.74,22.48
32,Blackboxstocks Inc. (BLBX),1.6M,14.81,2.63,21.59
33,Rekor Systems Inc. (REKR),26.4M,2.52,0.44,21.15
34,Telefon AB L.M. Ericsson Series B ADR (ERIC),62.7M,9.85,1.68,20.56
35,Brazil Potash Corp. (GRO),895.4K,2.92,0.48,19.67
36,Bakkt Holdings Inc. (BKKT),2.7M,45.04,7.33,19.44
37,Lithium Americas Corp. (LAC),134.9M,10.05,1.62,19.22
38,HCM II Acquisition Corp. Cl A (HOND),4.6M,24.98,3.98,18.95
39,Coya Therapeutics Inc. (COYA),1.4M,7.2,1.14,18.81
40,indie Semiconductor Inc. (INDI),15.3M,5.56,0.87,18.55
41,Odyssey Marine Exploration Inc. (OMEX),9.3M,4.12,0.63,18.05
42,Cemtrex Inc. (CETX),624.9K,6.22,0.92,17.36
43,One & One Green Technologies Inc. (YDDL),837.0K,5.7,0.83,17.04
44,NextNRG Inc. (NXXT),3.2M,2.63,0.38,16.89
45,Lightpath Technologies Inc. Cl A (LPTH),3.5M,10.39,1.49,16.74
46,Beeline Holdings Inc. (BLNE),1.1M,3.44,0.49,16.61
47,Ouster Inc. (OUST),4.7M,36.16,5.09,16.38
48,Kopin Corp. (KOPN),21.8M,3.94,0.55,16.22
49,Stem Inc. (STEM),750.3K,27.52,3.84,16.22
50,Volato Group Inc. (SOAR),6.4M,4.02,0.56,16.18
51,Fluence Energy Inc. (FLNC),1.4M,18.45,2.56,16.11
52,Cabaletta Bio Inc. (CABA),5.9M,2.89,0.4,16.06
53,Satellogic Inc. (SATL),6.0M,3.91,0.54,15.85
54,DigitalBridge Group Inc. (DBRG),14.5M,13.48,1.83,15.71
55,Edible Garden AG Inc. (EDBL),1.4M,2.32,0.31,15.61
56,Cerence Inc. (CRNC),4.4M,13.07,1.76,15.56
57,Almonty Industries Inc. (ALM),9.0M,9.96,1.32,15.28
58,Stoke Therapeutics Inc. (STOK),1.9M,34.94,4.6,15.16
59,Jet.AI Inc. (JTAI),726.7K,3.16,0.41,14.91
60,T1 Energy Inc. (TE),11.3M,4.01,0.51,14.57
61,Interlink Electronics Inc. (LINK),91.4K,11.76,1.5,14.56
62,Orla Mining Ltd. (ORLA),11.8M,13.13,1.64,14.27
63,Kandal M Venture Ltd. Cl A (FMFC),349.2K,10.55,1.3,14.12
64,Ballard Power Systems Inc. (BLDP),15.7M,3.98,0.49,14.04
65,Streamex Corp. (STEX),2.8M,5.84,0.71,13.96
66,Polaris Inc. (PII),4.2M,69.9,8.54,13.92
67,Resolute Holdings Management (RHLD),92.0K,84.05,10.21,13.83
68,Albertsons Cos. Inc. (ACI),23.6M,19.26,2.31,13.63
69,Spectral AI Inc. (MDAI),2.0M,2.51,0.3,13.57
70,Digital Brands Group Inc. (DBGI),241.4K,8.63,1.03,13.55
71,Tetra Technologies Inc. (TTI),12.0M,7.04,0.84,13.55
72,LivePerson Inc. (LPSN),614.5K,6.56,0.78,13.49
73,Apyx Medical Corp. (APYX),424.7K,3.4,0.4,13.33
74,Strata Critical Medical Inc. Cl A (SRTA),1.8M,5.57,0.65,13.21
75,Aeluma Inc. (ALMU),650.6K,19.72,2.3,13.2
76,Jayud Global Logistics Ltd. (JYD),180.0K,6.56,0.76,13.1
77,Intuitive Machines Inc. Cl A (LUNR),18.1M,13.85,1.6,13.06
78,Comstock Inc. (LODE),4.5M,4.38,0.5,12.89
79,J-Long Group Ltd. Cl A (JL),67.8K,5.94,0.67,12.71
80,ChowChow Cloud International Holdings Ltd. (CHOW),412.2K,8.13,0.9,12.45
81,FuelCell Energy Inc. (FCEL),10.3M,11.43,1.26,12.39
82,K Wave Media Ltd. (KWM),408.1K,3.0,0.33,12.36
83,DDC Enterprise Ltd. (DDC),202.6K,9.66,1.06,12.33
84,PureCycle Technologies Inc. (PCT),6.6M,14.78,1.61,12.22
85,Q/C Technologies Inc. (QCLS),791.8K,4.36,0.47,12.08
86,Green Plains Inc. (GPRE),3.0M,11.16,1.2,12.05
87,Golden Sun Health Technology Group Ltd. (GSUN),225.0K,2.61,0.28,12.02
88,Energy Vault Holdings Inc. (NRGV),4.7M,4.2,0.45,12.0
89,Arbe Robotics Ltd. (ARBE),7.4M,2.64,0.28,11.86
90,Universal Safety Products Inc. (UUU),277.0K,6.07,0.64,11.79
91,Orchestra BioMed Holdings Inc. (OBIO),869.0K,3.56,0.37,11.6
92,Tronox Holdings PLC (TROX),7.9M,4.05,0.42,11.57
93,MDB Capital Holdings LLC (MDBH),72.9K,3.84,0.39,11.3
94,Spring Valley Acquisition Corp. II Cl A (SVII),547.4K,14.11,1.43,11.28
95,Celularity Inc. (CELU),1.7M,2.27,0.23,11.27
96,Spruce Biosciences Inc. (SPRB),192.7K,176.91,17.9,11.26
97,Shutterstock Inc. (SSTK),499.8K,24.9,2.5,11.16
98,Mercurity Fintech Holding Inc. (MFH),657.4K,20.17,2.02,11.13
99,ATAI Life Sciences N.V. (ATAI),9.8M,6.0,0.6,11.11
