,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,CRML,Critical Metals Corp.,,30.17 +6.89 (+29.62%),6.89,+29.62%,11.213M,10.922M,3.226B,--,+239.36%,1.23 30.25
1,UAMY,United States Antimony Corporation,,19.52 +2.82 (+16.87%),2.82,+16.87%,4.907M,9.109M,2.665B,--,"+2,220.83%",0.49 19.70
2,BITF,Bitfarms Ltd.,,5.39 +1.19 (+28.33%),1.19,+28.33%,20.702M,60.297M,2.979B,--,+191.35%,0.67 5.42
3,BE,Bloom Energy Corporation,,107.33 -2.61 (-2.37%),-2.61,-2.37%,432171,12.864M,25.115B,975.73,+950.76%,9.02 115.21
4,RGTI,"Rigetti Computing, Inc.",,54.81 -0.10 (-0.19%),-0.1,-0.19%,6.872M,68.163M,17.766B,--,"+6,670.65%",0.79 55.23
5,POWI,"Power Integrations, Inc.",,43.15 +8.51 (+24.57%),8.51,+24.57%,308933,743035,2.421B,73.14,-31.55%,34.55 69.53
6,EOSE,"Eos Energy Enterprises, Inc.",,17.05 +3.23 (+23.37%),3.23,+23.37%,41.165M,17.061M,4.761B,--,+407.44%,2.06 17.36
7,QBTS,D-Wave Quantum Inc.,,40.30 -0.26 (-0.64%),-0.26,-0.64%,2.843M,50.832M,13.783B,--,"+3,970.14%",0.98 41.97
8,BBAI,"BigBear.ai Holdings, Inc.",,8.75 -0.06 (-0.68%),-0.06,-0.68%,10.247M,94.534M,3.244B,--,+400.57%,1.51 10.36
9,FLNC,"Fluence Energy, Inc.",,15.34 -0.55 (-3.46%),-0.55,-3.46%,326162,5.7M,2.8B,--,-25.40%,3.46 24.00
10,MP,MP Materials Corp.,,96.00 +0.94 (+0.99%),0.94,+0.99%,4.227M,15.93M,17.001B,--,+437.06%,15.56 98.97
11,NVTS,Navitas Semiconductor Corporation,,12.45 +2.48 (+24.87%),2.48,+24.87%,12.955M,29.847M,2.653B,--,+297.21%,1.52 12.46
12,FORD,"Forward Industries, Inc.",,24.58 +4.19 (+20.55%),4.19,+20.55%,511772,302193,2.114B,--,+629.38%,3.30 46.00
13,TMC,TMC the metals company Inc.,,10.69 +1.80 (+20.32%),1.8,+20.32%,3.16M,10.647M,5.641B,--,+958.42%,0.72 11.35
14,CIFR,Cipher Mining Inc.,,19.89 -0.45 (-2.21%),-0.45,-2.21%,4.222M,39.876M,7.822B,--,+364.38%,1.86 20.60
15,BTQ,BTQ Technologies Corp.,,12.08 +1.96 (+19.37%),1.96,+19.37%,9.202M,11.617M,1.672B,--,+129.66%,4.94 16.00
16,NNE,NANO Nuclear Energy Inc.,,52.17 -2.27 (-4.01%),-2.27,-4.01%,241740,3.897M,2.615B,--,+249.87%,15.16 60.51
17,USAR,"USA Rare Earth, Inc.",,41.95 +3.27 (+9.23%),3.27,+9.23%,3.566M,9.618M,4.775B,--,+259.41%,5.56 43.98
18,METCB,"Ramaco Resources, Inc.",,21.79 +0.12 (+0.55%),0.12,+0.55%,9387,166595,3.142B,--,+112.04%,5.94 21.83
19,ONDS,Ondas Holdings Inc.,,10.81 +1.59 (+17.25%),1.59,+17.25%,2.502M,44.23M,3.774B,--,"+1,098.45%",0.57 11.70
20,UUUU,Energy Fuels Inc.,,25.99 +2.22 (+9.32%),2.22,+9.32%,4.722M,17.76M,5.995B,--,+315.56%,3.20 26.08
21,OKLO,Oklo Inc.,,167.59 -3.41 (-1.99%),-3.41,-1.99%,706528,20.143M,24.738B,--,"+1,367.90%",9.54 175.90
22,IONQ,"IonQ, Inc.",,79.85 -2.26 (-2.75%),-2.26,-2.75%,1.731M,25.078M,26.425B,--,+682.55%,10.36 84.64
23,QS,QuantumScape Corporation,,16.52 -0.47 (-2.77%),-0.47,-2.77%,2.283M,47.509M,9.351B,--,+209.47%,3.40 17.79
24,SEI,"Solaris Energy Infrastructure, Inc.",,50.11 -1.86 (-3.59%),-1.86,-3.59%,40429,2.689M,3.387B,84.93,+278.43%,12.78 52.26
25,SNDK,Sandisk Corporation,,123.19 -11.42 (-8.48%),-11.42,-8.48%,582076,4.875M,18.036B,--,+273.92%,27.89 137.05
26,AGX,"Argan, Inc.",,294.72 +38.57 (+15.06%),38.57,+15.06%,467778,394565,4.071B,35.34,+144.62%,101.02 295.04
27,BTDR,Bitdeer Technologies Group,,20.45 +2.67 (+15.02%),2.67,+15.02%,716699,5.027M,4.374B,--,+163.19%,6.84 26.99
28,SMR,NuScale Power Corporation,,43.33 -1.69 (-3.75%),-1.69,-3.75%,1.424M,16.19M,5.802B,--,+230.54%,11.08 53.50
29,QUBT,Quantum Computing Inc.,,21.46 +2.44 (+12.86%),2.44,+12.86%,1.866M,28.507M,4.806B,--,"+2,914.04%",0.70 27.15
30,HUT,Hut 8 Corp.,,46.45 -2.66 (-5.42%),-2.66,-5.42%,229709,5.697M,4.902B,32.48,+317.25%,10.04 51.30
31,RUN,Sunrun Inc.,,21.17 +2.37 (+12.61%),2.37,+12.61%,119189,13.804M,4.885B,--,+40.29%,5.38 21.19
32,LAC,Lithium Americas Corp.,,8.09 -0.36 (-4.21%),-0.36,-4.21%,5.475M,33.273M,1.998B,--,+215.73%,2.31 9.48
33,SKE,Skeena Resources Limited,,19.72 -0.83 (-4.02%),-0.83,-4.02%,26463,655246,2.388B,--,+118.49%,7.32 20.77
34,YELP,Yelp Inc.,,33.49 -0.34 (-1.00%),-0.34,-1.00%,16233,878442,2.112B,15.36,-3.07%,29.96 41.72
35,AMBA,"Ambarella, Inc.",,80.95 +8.07 (+11.07%),8.07,+11.07%,6938,778193,3.456B,--,+40.08%,38.86 93.44
36,METC,"Ramaco Resources, Inc.",,51.94 -0.48 (-0.92%),-0.48,-0.92%,200560,3.406M,3.096B,--,+393.89%,6.30 54.10
37,ARM,Arm Holdings plc,,171.32 -0.62 (-0.36%),-0.62,-0.36%,776179,4.971M,181.473B,263.57,+14.12%,80.00 182.88
38,EXK,Endeavour Silver Corp.,,8.13 -0.36 (-4.31%),-0.36,-4.31%,618818,12.917M,2.359B,--,+92.74%,2.95 8.62
39,IE,Ivanhoe Electric Inc.,,15.97 +1.56 (+10.83%),1.56,+10.83%,47463,1.649M,2.121B,--,+72.84%,4.50 16.22
40,PSIX,"Power Solutions International, Inc.",,94.96 +9.24 (+10.78%),9.24,+10.78%,661614,747087,2.187B,19.74,+289.98%,15.30 121.78
41,GRND,Grindr Inc.,,13.50 +0.24 (+1.81%),0.24,+1.81%,162653,2.188M,2.592B,--,+3.44%,11.73 25.13
42,VNET,"VNET Group, Inc.",,8.90 -0.51 (-5.39%),-0.51,-5.39%,310228,6.884M,2.395B,--,+181.74%,3.17 16.13
43,SYM,Symbotic Inc.,,70.51 +6.72 (+10.53%),6.72,+10.53%,34796,2.219M,41.636B,--,+144.57%,16.32 72.11
44,ASTS,"AST SpaceMobile, Inc.",,88.69 -1.81 (-1.99%),-1.81,-1.99%,572732,12.057M,32.061B,--,+273.20%,17.50 92.07
45,SOUN,"SoundHound AI, Inc.",,18.55 -0.59 (-3.11%),-0.59,-3.11%,1.506M,60.866M,7.561B,--,+260.45%,4.86 24.98
46,LEU,Centrus Energy Corp.,,387.01 -13.00 (-3.25%),-13.0,-3.25%,118485,1.439M,7.047B,62.72,+553.74%,49.40 430.00
47,BBY,"Best Buy Co., Inc.",,76.35 -1.11 (-1.43%),-1.11,-1.43%,89680,3.416M,16.04B,21.03,-20.62%,54.99 99.80
48,ENTG,"Entegris, Inc.",,91.91 +8.27 (+9.89%),8.27,+9.89%,5095,2.743M,13.915B,47.13,-10.45%,60.75 112.36
49,AVGO,Broadcom Inc.,,349.20 -7.50 (-2.10%),-7.5,-2.10%,1.09M,22.473M,1.649T,89.77,+102.69%,138.10 374.23
50,MKSI,MKS Inc.,,133.03 +11.77 (+9.71%),11.77,+9.71%,534,1.197M,8.934B,33.68,+27.95%,54.84 142.20
51,TAC,TransAlta Corporation,,16.83 -0.26 (-1.52%),-0.26,-1.52%,50901,1.381M,4.989B,--,+66.67%,7.82 17.69
52,ON,ON Semiconductor Corporation,,50.11 +4.37 (+9.55%),4.37,+9.55%,40212,8.781M,20.494B,47.72,-27.71%,31.04 76.06
53,AMSC,American Superconductor Corporation,,61.57 +5.33 (+9.48%),5.33,+9.48%,1.1M,1.173M,2.781B,153.93,+164.59%,13.98 65.70
54,PONY,Pony AI Inc.,,22.19 +1.90 (+9.36%),1.9,+9.36%,466188,8.086M,7.884B,--,+84.92%,4.11 24.92
55,AMRC,"Ameresco, Inc.",,41.71 +3.53 (+9.25%),3.53,+9.25%,7624,779432,2.198B,35.65,+25.26%,8.49 44.93
56,AAP,"Advance Auto Parts, Inc.",,53.39 -0.65 (-1.20%),-0.65,-1.20%,15438,1.988M,3.203B,--,+36.94%,28.89 70.00
57,FIVE,"Five Below, Inc.",,151.18 +12.69 (+9.16%),12.69,+9.16%,797,1.316M,8.337B,30.60,+61.52%,52.38 157.54
58,PII,Polaris Inc.,,61.36 +5.06 (+8.99%),5.06,+8.99%,1.562M,1.42M,3.45B,--,-24.62%,30.92 84.08
59,HMY,Harmony Gold Mining Company Limited,,19.30 -0.57 (-2.84%),-0.57,-2.84%,135310,5.35M,12.054B,14.85,+97.81%,7.97 20.04
60,OSCR,"Oscar Health, Inc.",,19.73 -0.67 (-3.31%),-0.67,-3.31%,1.029M,22.709M,5.1B,--,+17.44%,11.20 23.80
61,CENX,Century Aluminum Company,,32.91 +2.62 (+8.65%),2.62,+8.65%,2.214M,1.76M,3.072B,27.42,+89.25%,13.05 33.25
62,MARA,"MARA Holdings, Inc.",,20.24 +1.60 (+8.61%),1.6,+8.61%,2.284M,55.999M,7.498B,10.88,+19.62%,9.81 30.28
63,DKS,"DICK'S Sporting Goods, Inc.",,223.40 -6.54 (-2.77%),-6.54,-2.77%,18932,1.605M,20.034B,15.59,+9.57%,166.37 254.60
64,MPWR,"Monolithic Power Systems, Inc.",,981.67 +77.23 (+8.54%),77.23,+8.54%,10418,555426,47.014B,25.70,+9.72%,438.86 990.67
65,BURL,"Burlington Stores, Inc.",,276.23 +21.71 (+8.53%),21.71,+8.53%,3560,979526,17.412B,32.57,+9.13%,212.92 309.00
66,BBAR,Banco BBVA Argentina S.A.,,9.77 -0.19 (-1.96%),-0.19,-1.96%,29463,1.092M,1.994B,9.86,-17.19%,7.76 25.01
67,BOOT,"Boot Barn Holdings, Inc.",,177.50 +13.68 (+8.35%),13.68,+8.35%,527822,568951,5.424B,27.95,+8.83%,86.17 191.31
68,BMNR,"Bitmine Immersion Technologies, Inc.",,52.78 -3.73 (-6.59%),-3.73,-6.59%,3.776M,50.918M,14.753B,--,+633.55%,3.92 161.00
69,VSH,"Vishay Intertechnology, Inc.",,15.50 -0.38 (-2.34%),-0.38,-2.34%,10536,1.543M,2.102B,--,-12.31%,10.35 20.15
70,RMBS,Rambus Inc.,,93.49 -3.52 (-3.63%),-3.52,-3.63%,20369,1.9M,10.059B,44.31,+124.20%,40.12 109.15
71,CDE,"Coeur Mining, Inc.",,20.73 -0.45 (-2.15%),-0.45,-2.15%,445222,14.498M,13.323B,51.82,+225.35%,4.58 21.80
72,BTU,Peabody Energy Corporation,,33.42 +2.53 (+8.19%),2.53,+8.19%,6.467M,5.455M,4.064B,30.66,+31.47%,9.61 33.61
73,AI,"C3.ai, Inc.",,18.82 -0.56 (-2.87%),-0.56,-2.87%,276417,9.727M,2.594B,--,-26.04%,14.70 45.08
74,SIG,Signet Jewelers Limited,,99.80 +7.49 (+8.11%),7.49,+8.11%,8253,897359,4.087B,33.95,+0.27%,45.55 106.28
75,CAMT,Camtek Ltd.,,118.97 +8.92 (+8.11%),8.92,+8.11%,4161,467310,5.437B,43.74,+43.87%,47.41 120.26
76,CRDO,Credo Technology Group Holding Ltd,,149.90 +11.07 (+7.97%),11.07,+7.97%,5.927M,5.213M,25.932B,208.19,+312.04%,29.09 176.70
77,TSM,Taiwan Semiconductor Manufacturing Company Limited,,295.72 -7.37 (-2.43%),-7.37,-2.43%,1.1M,12.046M,1.534T,32.53,+61.86%,134.25 307.30
78,ENVX,Enovix Corporation,,13.02 +0.95 (+7.87%),0.95,+7.87%,184840,8.335M,2.834B,--,+9.14%,5.27 16.49
79,NTSK,"Netskope, Inc.",,23.44 +1.69 (+7.78%),1.69,+7.78%,3.001M,5.555M,8.956B,--,+4.22%,21.00 27.99
80,AMKR,"Amkor Technology, Inc.",,30.46 +2.20 (+7.78%),2.2,+7.78%,61317,2.426M,7.528B,24.97,+1.60%,14.03 33.54
81,SBSW,Sibanye Stillwater Limited,,11.50 -0.29 (-2.48%),-0.29,-2.48%,290921,8.65M,8.138B,--,+207.03%,3.05 12.37
82,MUR,Murphy Oil Corporation,,28.78 +2.01 (+7.51%),2.01,+7.51%,33327,2.328M,4.108B,14.76,-13.50%,18.95 34.52
83,HL,Hecla Mining Company,,13.48 +0.94 (+7.50%),0.94,+7.50%,323532,24.941M,9.031B,84.25,+101.19%,4.46 13.84
84,SMMT,Summit Therapeutics Inc.,,22.09 -0.84 (-3.66%),-0.84,-3.66%,49360,3.781M,16.409B,--,+4.99%,15.55 36.91
85,AEIS,"Advanced Energy Industries, Inc.",,182.15 +12.53 (+7.39%),12.53,+7.39%,391,410932,6.871B,80.60,+70.82%,75.01 183.93
86,FLR,Fluor Corporation,,46.06 -1.16 (-2.45%),-1.16,-2.45%,33747,4.067M,7.447B,1.91,-6.44%,29.20 60.10
87,SA,Seabridge Gold Inc.,,26.35 +1.80 (+7.33%),1.8,+7.33%,1.313M,1.24M,2.691B,--,+51.26%,9.40 26.74
88,MANU,Manchester United plc,,17.13 +1.17 (+7.33%),1.17,+7.33%,517999,296823,2.954B,--,+3.69%,12.05 19.65
89,LITE,Lumentum Holdings Inc.,,160.56 +10.95 (+7.32%),10.95,+7.32%,5762,3.29M,11.386B,433.95,+141.15%,45.65 178.49
90,IREN,IREN Limited,,63.24 -0.90 (-1.41%),-0.9,-1.41%,4.422M,33.889M,17.199B,162.14,+634.71%,5.13 70.05
91,GDS,GDS Holdings Limited,,33.91 -1.83 (-5.12%),-1.83,-5.12%,164945,2.82M,6.429B,154.14,+70.03%,16.93 52.50
