,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
92,TGS,Transportadora de Gas del Sur S.A.,,23.98 +1.63 (+7.29%),1.63,+7.29%,678597,511687,3.586B,16.31,+15.45%,19.74 34.37
93,IESC,"IES Holdings, Inc.",,387.84 +26.28 (+7.27%),26.28,+7.27%,288,148228,7.7B,29.67,+76.34%,146.51 405.00
94,CGNX,Cognex Corporation,,43.74 +2.96 (+7.26%),2.96,+7.26%,4198,2.025M,7.344B,60.75,+10.20%,22.67 47.52
95,GEV,GE Vernova Inc.,,632.12 -16.11 (-2.49%),-16.11,-2.49%,101472,2.726M,172.078B,152.32,+143.37%,252.25 677.29
96,OLN,Olin Corporation,,23.89 +1.61 (+7.23%),1.61,+7.23%,2.613M,2.671M,2.739B,--,-48.56%,17.66 48.00
97,ALB,Albemarle Corporation,,92.65 -3.68 (-3.82%),-3.68,-3.82%,195585,4.404M,10.903B,--,+0.63%,49.43 113.91
98,NP,Neptune Insurance Holdings Inc.,,28.37 +1.89 (+7.14%),1.89,+7.14%,442772,2.446M,3.916B,--,+14.40%,22.30 33.24
99,CLS,Celestica Inc.,,261.06 +17.34 (+7.11%),17.34,+7.11%,3.282M,3.363M,30.03B,56.88,+327.20%,55.30 270.15
100,CC,The Chemours Company,,13.04 -0.40 (-2.95%),-0.4,-2.95%,44400,3.532M,1.953B,--,-31.11%,9.13 22.38
101,BBUC,Brookfield Business Corporation,,36.15 +2.39 (+7.08%),2.39,+7.08%,159059,123862,2.53B,--,+39.04%,21.52 37.01
102,ASO,"Academy Sports and Outdoors, Inc.",,52.87 +3.49 (+7.07%),3.49,+7.07%,921,1.65M,3.522B,9.94,-3.70%,33.34 61.25
103,HPQ,HP Inc.,,27.55 +0.20 (+0.75%),0.2,+0.75%,240837,9.135M,25.746B,10.02,-26.02%,21.21 39.80
104,RGC,Regencell Bioscience Holdings Limited,,17.99 +1.18 (+7.02%),1.18,+7.02%,256775,364996,8.896B,--,"+12,512.88%",0.09 83.60
105,BROS,Dutch Bros Inc.,,52.31 +3.43 (+7.02%),3.43,+7.02%,60028,3.817M,8.606B,113.72,+52.95%,32.68 86.88
106,NIO,NIO Inc.,,6.89 -0.29 (-3.98%),-0.29,-3.98%,5.238M,84.838M,16.848B,--,+27.76%,3.02 8.02
107,BBU,Brookfield Business Partners L.P.,,35.29 +2.31 (+7.00%),2.31,+7.00%,514,51051,3.135B,--,+45.71%,18.63 35.33
108,VICR,Vicor Corporation,,51.96 +3.40 (+7.00%),3.4,+7.00%,252569,371160,2.334B,35.59,+24.46%,38.92 65.70
109,PAM,Pampa Energía S.A.,,66.56 -1.26 (-1.87%),-1.26,-1.87%,5723,343189,3.62B,8.07,+3.48%,54.95 97.55
110,AEO,"American Eagle Outfitters, Inc.",,15.29 +0.98 (+6.85%),0.98,+6.85%,67322,14.706M,2.589B,14.99,-27.40%,9.27 21.74
111,MTSI,"MACOM Technology Solutions Holdings, Inc.",,130.53 +8.35 (+6.83%),8.35,+6.83%,933093,901128,9.721B,--,+15.09%,84.00 152.50
112,MBLY,Mobileye Global Inc.,,15.20 +0.96 (+6.74%),0.96,+6.74%,44450,5.906M,12.369B,--,+24.90%,11.12 22.51
113,HSAI,Hesai Group,,22.94 -0.59 (-2.49%),-0.59,-2.49%,96313,3.206M,3.584B,208.59,+435.99%,4.02 30.85
114,IAG,IAMGOLD Corporation,,13.28 -0.28 (-2.03%),-0.28,-2.03%,112527,14.049M,7.637B,9.29,+175.41%,4.75 13.99
115,ONTO,Onto Innovation Inc.,,125.00 -4.50 (-3.47%),-4.5,-3.47%,15139,1.445M,6.125B,30.94,-36.63%,85.88 228.42
116,ACHR,Archer Aviation Inc.,,12.20 -0.57 (-4.43%),-0.57,-4.43%,2.066M,41.33M,7.869B,--,+310.61%,2.99 13.92
117,DIOD,Diodes Incorporated,,51.58 +3.21 (+6.64%),3.21,+6.64%,226,441915,2.396B,37.65,-18.26%,32.93 67.40
118,OLLI,"Ollie's Bargain Outlet Holdings, Inc.",,132.85 +8.25 (+6.62%),8.25,+6.62%,298,1.058M,8.145B,38.51,+40.31%,86.88 141.74
119,MCHP,Microchip Technology Incorporated,,64.39 +3.98 (+6.59%),3.98,+6.59%,8.085M,8.219M,34.75B,--,-14.41%,34.13 79.44
120,ARMN,Aris Mining Corporation,,10.73 +0.66 (+6.55%),0.66,+6.55%,18093,1.732M,2.172B,357.67,+134.28%,3.29 10.94
121,GRAL,"GRAIL, Inc.",,67.38 -3.06 (-4.34%),-3.06,-4.34%,15912,933175,2.429B,--,+402.78%,12.76 75.53
122,SCCO,Southern Copper Corporation,,129.00 -4.24 (-3.18%),-4.24,-3.18%,46290,1.586M,104.772B,28.99,+22.46%,73.44 136.50
123,TECK,Teck Resources Limited,,42.68 -1.89 (-4.23%),-1.89,-4.23%,59141,5.849M,20.502B,133.38,-9.69%,28.32 51.48
124,VST,Vistra Corp.,,204.00 -5.50 (-2.63%),-5.5,-2.63%,98186,4.667M,69.12B,32.80,+63.34%,90.51 219.82
125,CRGY,Crescent Energy Company,,8.32 -0.27 (-3.13%),-0.27,-3.13%,65600,4.578M,2.12B,--,-31.09%,6.83 16.94
126,ERO,Ero Copper Corp.,,21.86 -0.85 (-3.74%),-0.85,-3.74%,131236,813359,2.265B,15.84,+14.70%,9.30 24.02
127,SHOO,"Steven Madden, Ltd.",,33.60 -0.72 (-2.10%),-0.72,-2.10%,7733,1.61M,2.441B,26.46,-28.75%,19.05 49.12
128,GFI,Gold Fields Limited,,42.35 -1.28 (-2.94%),-1.28,-2.94%,130048,3.332M,37.909B,20.27,+178.08%,12.98 43.70
129,UMC,United Microelectronics Corporation,,7.45 -0.19 (-2.49%),-0.19,-2.49%,93744,6.93M,18.721B,13.55,-3.90%,5.61 8.33
130,VSAT,"Viasat, Inc.",,34.70 +2.08 (+6.38%),2.08,+6.38%,22898,3.871M,4.659B,--,+222.49%,6.69 36.22
131,CRK,"Comstock Resources, Inc.",,19.00 -0.60 (-3.06%),-0.6,-3.06%,44347,2.664M,5.568B,--,+72.30%,11.05 31.17
132,CCJ,Cameco Corporation,,89.04 -3.10 (-3.37%),-3.1,-3.37%,160482,4.531M,38.767B,102.34,+78.21%,35.00 94.36
133,KC,Kingsoft Cloud Holdings Limited,,12.72 -0.71 (-5.29%),-0.71,-5.29%,320184,2.216M,3.845B,--,+391.94%,2.57 22.26
134,SQM,Sociedad Química y Minera de Chile S.A.,,43.35 +2.58 (+6.33%),2.58,+6.33%,1.444M,1.513M,11.72B,25.96,+11.47%,29.36 47.51
135,AAUC,Allied Gold Corporation,,18.86 +1.12 (+6.31%),1.12,+6.31%,124940,175201,2.177B,--,+163.59%,6.37 19.18
136,SYNA,Synaptics Incorporated,,65.93 +3.91 (+6.30%),3.91,+6.30%,564,413396,2.575B,--,-11.50%,41.80 89.81
137,PKX,POSCO Holdings Inc.,,47.97 +2.84 (+6.29%),2.84,+6.29%,1934,131596,14.51B,39.97,-24.25%,39.40 64.72
138,CROX,"Crocs, Inc.",,81.49 +4.79 (+6.25%),4.79,+6.25%,1.703M,2.19M,4.451B,22.14,-41.98%,73.76 144.23
139,STM,STMicroelectronics N.V.,,28.80 +1.69 (+6.23%),1.69,+6.23%,125150,6.903M,25.679B,61.28,+7.14%,17.25 33.47
140,PPTA,Perpetua Resources Corp.,,27.39 +1.60 (+6.20%),1.6,+6.20%,182286,2.663M,2.946B,--,+182.66%,7.81 28.32
141,MTRN,Materion Corporation,,125.42 +7.32 (+6.20%),7.32,+6.20%,3539,188540,2.6B,162.88,+19.45%,69.10 130.00
142,PINS,"Pinterest, Inc.",,31.72 -0.57 (-1.76%),-0.57,-1.76%,217092,10.254M,21.567B,11.49,-4.16%,23.68 40.90
143,MU,"Micron Technology, Inc.",,192.77 +11.17 (+6.15%),11.17,+6.15%,892743,23.422M,216.378B,25.36,+84.79%,61.54 201.00
144,SWKS,"Skyworks Solutions, Inc.",,71.33 -2.04 (-2.78%),-2.04,-2.78%,28975,2.476M,10.587B,28.42,-25.56%,47.93 101.50
145,PAAS,Pan American Silver Corp.,,39.94 -0.92 (-2.25%),-0.92,-2.25%,271693,5.921M,16.855B,27.54,+83.18%,19.80 41.50
146,SITM,SiTime Corporation,,294.44 +16.79 (+6.05%),16.79,+6.05%,1712,362648,7.657B,--,+68.10%,105.40 323.66
147,HBM,Hudbay Minerals Inc.,,17.07 -0.51 (-2.87%),-0.51,-2.87%,126992,7.358M,6.754B,23.38,+96.31%,5.95 17.73
148,LB,LandBridge Company LLC,,50.81 -0.98 (-1.89%),-0.98,-1.89%,5957,572178,3.89B,65.99,+0.80%,48.55 87.60
149,DOCN,"DigitalOcean Holdings, Inc.",,38.50 -1.07 (-2.70%),-1.07,-2.70%,342733,2.825M,3.505B,29.39,-10.16%,25.45 47.02
150,PTON,"Peloton Interactive, Inc.",,7.37 +0.41 (+5.97%),0.41,+5.97%,121708,13.817M,3.005B,--,+41.46%,4.63 10.90
151,VVV,Valvoline Inc.,,35.07 -0.19 (-0.55%),-0.19,-0.55%,6206,1.73M,4.458B,16.39,-15.02%,31.02 43.74
152,VRT,Vertiv Holdings Co,,171.82 -7.20 (-4.02%),-7.2,-4.02%,372370,7.344M,65.614B,82.21,+66.56%,53.60 184.44
153,OTF,Blue Owl Technology Finance Corp.,,14.24 +0.79 (+5.87%),0.79,+5.87%,605924,414750,6.652B,7.70,-14.01%,13.30 21.62
154,ASX,"ASE Technology Holding Co., Ltd.",,11.27 -0.46 (-3.79%),-0.46,-3.79%,65509,6.86M,24.497B,22.99,+15.00%,6.94 11.90
155,KRMN,Karman Holdings Inc.,,79.07 +4.36 (+5.84%),4.36,+5.84%,1.007M,1.755M,10.463B,1317.83,+163.13%,25.03 79.25
156,EL,The Estée Lauder Companies Inc.,,91.52 -1.23 (-1.33%),-1.23,-1.33%,30202,3.556M,32.98B,--,+1.43%,48.37 96.50
157,DRVN,Driven Brands Holdings Inc.,,15.03 -0.10 (-0.66%),-0.1,-0.66%,3541,968943,2.469B,--,+4.42%,13.93 19.74
158,WRD,WeRide Inc.,,10.76 +0.59 (+5.80%),0.59,+5.80%,5.497M,7.447M,3.062B,--,-34.98%,6.03 44.00
159,VAL,Valaris Limited,,48.73 -0.69 (-1.38%),-0.69,-1.38%,22214,1.217M,3.47B,12.76,-1.63%,27.15 53.98
160,ALGM,"Allegro MicroSystems, Inc.",,27.41 +1.49 (+5.75%),1.49,+5.75%,477,1.706M,5.072B,--,+33.97%,16.38 38.45
161,BEP,Brookfield Renewable Partners L.P.,,27.06 -0.74 (-2.66%),-0.74,-2.66%,6791,514543,16.901B,--,+7.59%,19.29 29.56
162,AG,First Majestic Silver Corp.,,13.45 -0.55 (-3.89%),-0.55,-3.89%,1.268M,20.109M,6.591B,--,+112.77%,5.09 14.73
163,VFC,V.F. Corporation,,14.05 +0.76 (+5.72%),0.76,+5.72%,10726,8.471M,5.488B,52.04,-27.91%,9.41 29.02
164,FN,Fabrinet,,382.60 +20.66 (+5.71%),20.66,+5.71%,2646,646628,13.67B,41.68,+49.75%,148.55 397.26
165,M,"Macy's, Inc.",,17.45 +0.94 (+5.69%),0.94,+5.69%,139857,9.23M,4.685B,9.91,+11.57%,9.76 18.47
166,ENS,EnerSys,,115.56 +6.22 (+5.69%),6.22,+5.69%,20752,342685,4.33B,13.22,+13.75%,76.57 117.94
167,DLTR,"Dollar Tree, Inc.",,92.59 +4.98 (+5.68%),4.98,+5.68%,8770,4.304M,18.885B,17.94,+36.70%,60.49 118.06
168,KTB,"Kontoor Brands, Inc.",,78.55 +4.22 (+5.68%),4.22,+5.68%,2510,709534,4.365B,17.57,-4.00%,50.00 96.80
169,CIEN,Ciena Corporation,,162.43 -2.38 (-1.44%),-2.38,-1.44%,26101,2.406M,22.959B,167.46,+150.16%,49.21 167.34
170,MIR,"Mirion Technologies, Inc.",,24.43 +1.31 (+5.67%),1.31,+5.67%,4.248M,4.696M,6.118B,488.60,+78.32%,12.00 25.16
171,WING,Wingstop Inc.,,253.54 -1.36 (-0.53%),-1.36,-0.53%,3435,847889,7.08B,42.33,-35.15%,204.00 401.26
172,SLAB,Silicon Laboratories Inc.,,129.05 +6.87 (+5.62%),6.87,+5.62%,189279,313690,4.235B,--,+13.03%,82.82 160.00
173,QRVO,"Qorvo, Inc.",,85.60 -2.32 (-2.64%),-2.32,-2.64%,10397,1.831M,7.931B,100.71,-15.12%,49.46 107.33
174,FORM,"FormFactor, Inc.",,40.28 +2.14 (+5.61%),2.14,+5.61%,1.003M,890485,3.106B,70.67,-9.99%,22.58 50.79
175,PTEN,"Patterson-UTI Energy, Inc.",,5.67 +0.30 (+5.59%),0.3,+5.59%,8.576M,8.545M,2.184B,--,-28.14%,5.10 9.57
176,JEF,Jefferies Financial Group Inc.,,53.73 +2.84 (+5.58%),2.84,+5.58%,6.008M,1.933M,11.083B,18.66,-17.93%,39.28 82.68
177,TLN,Talen Energy Corporation,,435.83 +23.00 (+5.57%),23.0,+5.57%,11710,1.097M,19.911B,112.33,+168.90%,158.08 451.28
178,ACMR,"ACM Research, Inc.",,38.62 +2.03 (+5.56%),2.03,+5.56%,9180,1.726M,2.479B,23.27,+97.37%,13.87 45.12
179,ICL,ICL Group Ltd,,6.84 +0.36 (+5.56%),0.36,+5.56%,1.325M,678787,8.828B,23.59,+74.49%,3.91 7.35
